"","Estimate","Std. Error","t value","Pr(>|t|)","Name","Est"
"1",0.160721655163526,0.0190231313199801,8.44874865552334,3.45757990898331e-09,"Arts and Humanities","(Intercept)"
"2",0.296436873538648,0.0570693939599402,5.1943231383661,1.63052430536849e-05,"Arts and Humanities","treated"
"3",0.0355218953104478,0.0344823538308173,1.03014705680276,0.311757848110317,"Arts and Humanities","time"
"4",-0.159830068892596,0.0700801122141497,-2.2806765549146,0.0303791046529055,"Arts and Humanities","did"
"5",0.700996997657513,0.0215368363609106,32.5487451318441,2.31874410263589e-29,"Biochemistry, Genetics and Molecular Biology","(Intercept)"
"6",-0.0904048233178879,0.0328980609512501,-2.7480289325214,0.0091195752322111,"Biochemistry, Genetics and Molecular Biology","treated"
"7",0.0251062859332828,0.0390388311630553,0.643110594895123,0.524014407301468,"Biochemistry, Genetics and Molecular Biology","time"
"8",0.0427888729432203,0.0565921589147645,0.756091899721764,0.454256024757042,"Biochemistry, Genetics and Molecular Biology","did"
"9",0.391799793825318,0.0257005567212962,15.2447979269127,1.68845877219499e-16,"Business, Management and Accounting","(Intercept)"
"10",0.0426360318695036,0.0465862152558411,0.915207033568964,0.366722461822033,"Business, Management and Accounting","treated"
"11",0.104325400948913,0.0465862152558411,2.2394049479225,0.0319868427184983,"Business, Management and Accounting","time"
"12",-0.0486809361761006,0.072040191032656,-0.675746905696481,0.503909668114604,"Business, Management and Accounting","did"
"13",0.457600685865324,0.01897255705237,24.1190834004192,3.12940228251982e-26,"Computer Science","(Intercept)"
"14",-0.100709566156092,0.026831247496359,-3.75344330038171,0.000529564546727626,"Computer Science","treated"
"15",0.00736703493598504,0.034390680185657,0.214216028767513,0.831415237796569,"Computer Science","time"
"16",0.141648729544223,0.0486357663377918,2.91243955241549,0.00572139474648384,"Computer Science","did"
"17",0.50580841089776,0.0322367005423575,15.6904522605579,1.12834069965028e-17,"Decision Sciences","(Intercept)"
"18",-0.0999348699848907,0.0519801177454403,-1.92255951543428,0.0624754509426805,"Decision Sciences","treated"
"19",-0.0348411069398298,0.0584339820685648,-0.596247349683412,0.554740920682667,"Decision Sciences","time"
"20",0.167776714789638,0.0863283466648893,1.94347188694481,0.059809047551254,"Decision Sciences","did"
"21",0.446526544355201,0.0280471359380741,15.920575467709,3.56280874006423e-16,"Economics, Econometrics and Finance","(Intercept)"
"22",0.148014290476008,0.0627153025317109,2.36009848475445,0.0249697089592585,"Economics, Econometrics and Finance","treated"
"23",0.0898806672893683,0.0508397513053974,1.76792106533822,0.0872444910228496,"Economics, Econometrics and Finance","time"
"24",-0.142430717173738,0.0867714591820128,-1.64144660602023,0.111148578630671,"Economics, Econometrics and Finance","did"
"25",0.501632542541906,0.0168201320005983,29.8233416077866,5.80703042049798e-26,"Engineering","(Intercept)"
"26",-0.0227477302814156,0.0291333232150515,-0.780814811736384,0.440314278782388,"Engineering","treated"
"27",0.0455098979182343,0.0304890784471697,1.49266229863563,0.144747690086112,"Engineering","time"
"28",0.00508596265160764,0.0462826603560436,0.10988915962225,0.913143344592415,"Engineering","did"
"29",0.56973966608964,0.032477135795128,17.5427928646068,1.18923337206835e-17,"Health Professions","(Intercept)"
"30",-0.112590340734499,0.0665583223024122,-1.69160424781948,0.100752042387942,"Health Professions","treated"
"31",0.106307524888455,0.0588698079754559,1.80580723030008,0.080667723510004,"Health Professions","time"
"32",0.178111756430586,0.0961862264096866,1.85173868524537,0.0736090886825871,"Health Professions","did"
"33",0.721842320220979,0.0278085029317293,25.9576116698236,6.67560567950946e-25,"Medicine","(Intercept)"
"34",-0.120137214934974,0.0448398636459834,-2.6792502288471,0.0110537103295417,"Medicine","treated"
"35",0.0611185023814154,0.0504071922475806,1.21249567088016,0.233219946353031,"Medicine","time"
"36",0.00780612675505625,0.0744698446470214,0.104822653948808,0.917098394534559,"Medicine","did"
"37",0.669971062048115,0.0290928662490875,23.0287059484601,9.7438204115864e-20,"Neuroscience","(Intercept)"
"38",-0.0297251928449079,0.0872785987472625,-0.340578254824929,0.735963271138713,"Neuroscience","treated"
"39",0.013473024354571,0.0527352984679248,0.255483987878929,0.800216766255655,"Neuroscience","time"
"40",-0.0420398925956545,0.107176431528174,-0.392249415251369,0.697843876602065,"Neuroscience","did"
"41",0.569220949353388,0.02179505457941,26.1169774675001,7.01174045035822e-26,"Psychology","(Intercept)"
"42",-0.0396894113697048,0.0332924957952802,-1.19214286648139,0.240597065181768,"Psychology","treated"
"43",0.0424905155921377,0.0395068914327391,1.07552161284262,0.288922805202169,"Psychology","time"
"44",0.0244642402133037,0.0572706766975587,0.427168694766734,0.671667243876382,"Psychology","did"
"45",0.280376702814658,0.0222119780564685,12.6227705655871,2.3719847691194e-15,"Social Sciences","(Intercept)"
"46",0.0934991675796423,0.0331752770624916,2.81833871058619,0.0075429464423018,"Social Sciences","treated"
"47",0.0487094653485796,0.0402626294137519,1.20979345010047,0.233640419934998,"Social Sciences","time"
"48",0.0935592958609812,0.0579311118866991,1.61500949686523,0.114371186016174,"Social Sciences","did"
