"","Estimate","Std. Error","t value","Pr(>|t|)","Name","Est"
"1",0.654347851325819,0.0624785931125218,10.4731527828637,8.5707037331491e-10,"Arts and Humanities","(Intercept)"
"2",-0.0179473050403975,0.153040672972646,-0.117271472294201,0.907759303772363,"Arts and Humanities","treated"
"3",-0.0227324285469329,0.102027115315097,-0.222807716132391,0.825838031235716,"Arts and Humanities","time"
"4",-0.181697114752866,0.188424893220479,-0.964294640943535,0.345872166745612,"Arts and Humanities","did"
"5",1.09822376879622,0.0268819625932468,40.8535561712339,5.21460504024222e-33,"Biochemistry, Genetics and Molecular Biology","(Intercept)"
"6",-0.34276214093011,0.0410628761375083,-8.34725117116234,4.01374450096211e-10,"Biochemistry, Genetics and Molecular Biology","treated"
"7",0.0500301448130326,0.0487276952576965,1.02672914342548,0.311039620820852,"Biochemistry, Genetics and Molecular Biology","time"
"8",0.120908609763894,0.0706375009552914,1.71167734034675,0.0951077971282514,"Biochemistry, Genetics and Molecular Biology","did"
"9",0.509232392815052,0.0381929328165088,13.3331576095915,7.70233431337098e-15,"Business, Management and Accounting","(Intercept)"
"10",0.10895031398433,0.0692305699342072,1.57373128789595,0.125089392850582,"Business, Management and Accounting","treated"
"11",0.0431936863799619,0.0692305699342073,0.623910599335101,0.536975681910161,"Business, Management and Accounting","time"
"12",-0.079653346545555,0.107057065184848,-0.744026995397483,0.46212544096209,"Business, Management and Accounting","did"
"13",0.560709160465163,0.0215746323407666,25.9892799844226,1.64786643096977e-27,"Computer Science","(Intercept)"
"14",-0.174932769777491,0.0305111376595254,-5.73340698500234,9.59776856928795e-07,"Computer Science","treated"
"15",0.104629169941074,0.0391073421946439,2.67543545711484,0.010593163134838,"Computer Science","time"
"16",0.0561353042964213,0.055306133720031,1.01499238006019,0.315921109348254,"Computer Science","did"
"17",0.554409834148075,0.0281514461407432,19.6938314066106,7.28909916566659e-21,"Decision Sciences","(Intercept)"
"18",-0.083830621768069,0.0453928429548033,-1.84678060044702,0.0730120346312906,"Decision Sciences","treated"
"19",0.131440485656432,0.0510288296046584,2.57580835529164,0.014251907363109,"Decision Sciences","time"
"20",-0.0107177404317785,0.0753882302055939,-0.142167290604246,0.887740542988692,"Decision Sciences","did"
"21",0.600173641217604,0.0396913927483467,15.1210023045262,1.4159012282234e-15,"Economics, Econometrics and Finance","(Intercept)"
"22",0.00166465563054696,0.0887526523069454,0.018756122631579,0.985159847560297,"Economics, Econometrics and Finance","treated"
"23",0.11674975224074,0.0719467592251191,1.62272426858635,0.115111882332619,"Economics, Econometrics and Finance","time"
"24",-0.128024681259692,0.122796141229702,-1.04257902551033,0.305472518369549,"Economics, Econometrics and Finance","did"
"25",0.636219697923849,0.0191018514531776,33.3067032524751,1.53241589304724e-27,"Engineering","(Intercept)"
"26",-0.0394934890083517,0.0330853772355371,-1.19368410785208,0.240864068774839,"Engineering","treated"
"27",0.125364953292184,0.0346250461899704,3.62064364057074,0.000946118031437468,"Engineering","time"
"28",-0.0709956594368426,0.0525610918480052,-1.35072649636248,0.18570481722918,"Engineering","did"
"29",0.760106003911106,0.031619616246873,24.0390648000441,1.31614322229881e-21,"Health Professions","(Intercept)"
"30",-0.00988658295841027,0.0648009301840486,-0.152568534592486,0.87972725174191,"Health Professions","treated"
"31",0.0692465459384107,0.0573154217925293,1.20816603581964,0.236119504196258,"Health Professions","time"
"32",0.0842410235610082,0.0936465452647881,0.899563601869289,0.375287479890938,"Health Professions","did"
"33",1.17395975642079,0.0285331188667748,41.1437586582167,7.22935194645283e-32,"Medicine","(Intercept)"
"34",-0.381025141150662,0.0460082717333557,-8.28166603081551,7.40455321433159e-10,"Medicine","treated"
"35",-0.0272442753422901,0.0517206701731336,-0.526757972220596,0.601592616493958,"Medicine","time"
"36",0.0488665193943186,0.0764103315637057,0.639527644943892,0.526528744804152,"Medicine","did"
"37",1.01172935706108,0.0374013037090012,27.0506441415195,1.29720857988618e-21,"Neuroscience","(Intercept)"
"38",-0.229308704852654,0.112203911127004,-2.04367835799502,0.0504958801811297,"Neuroscience","treated"
"39",0.0385429666063359,0.0677956203179377,0.568517057968979,0.574215777733457,"Neuroscience","time"
"40",-0.000937843706092315,0.137784233141962,-0.00680661121164737,0.994617417107105,"Neuroscience","did"
"41",0.840661313385294,0.0381475249795904,22.0371128621074,3.01341592035007e-23,"Psychology","(Intercept)"
"42",-0.237183065731792,0.0582713069313973,-4.07032342712043,0.000229079452315704,"Psychology","treated"
"43",0.0319694426816575,0.0691482612399668,0.462331837538377,0.646479773074568,"Psychology","time"
"44",0.0856261763408756,0.100239921949179,0.854212320559142,0.398340593103661,"Psychology","did"
"45",0.668912239690225,0.0329652123359596,20.2914585494889,2.49124624175337e-22,"Social Sciences","(Intercept)"
"46",-0.193966736368703,0.0492360495714989,-3.93952679097519,0.000327986851722568,"Social Sciences","treated"
"47",0.0295872239785987,0.0597545218374581,0.495146192602472,0.623275266612517,"Social Sciences","time"
"48",0.123168376321193,0.0859766473453333,1.43257942853337,0.159945456744077,"Social Sciences","did"
